commodity,report_begin_date,average_price
Strawberries,12/23/2020,9
Strawberries,12/23/2020,19.5
Strawberries,12/23/2020,16.75
Strawberries,12/23/2020,30
Blackberries,12/22/2020,9
Blackberries,12/22/2020,17.625
Blackberries,12/22/2020,16.625
Blueberries,12/22/2020,19.75
Blueberries,12/22/2020,29.25
Blueberries,12/22/2020,17.875
Cranberries,12/22/2020,38.25
Raspberries,12/22/2020,24.5
Raspberries,12/22/2020,30.5
Strawberries,12/22/2020,19.5
Strawberries,12/22/2020,14.5
Strawberries,12/22/2020,16.75
Strawberries,12/22/2020,17.5
Strawberries,12/22/2020,9
Strawberries,12/22/2020,15.5
Strawberries,12/22/2020,30
Blackberries,12/21/2020,9
Blackberries,12/21/2020,16.625
Blackberries,12/21/2020,17.625
Blueberries,12/21/2020,32
Blueberries,12/21/2020,19.75
Blueberries,12/21/2020,17.875
Cranberries,12/21/2020,38.25
Raspberries,12/21/2020,24.5
Raspberries,12/21/2020,30.5
Strawberries,12/21/2020,16.75
Strawberries,12/21/2020,19.5
Strawberries,12/21/2020,30
Strawberries,12/21/2020,9
Strawberries,12/21/2020,15.5
Blackberries,12/18/2020,17.625
Blackberries,12/18/2020,16.625
Blueberries,12/18/2020,32
Blueberries,12/18/2020,19.75
Blueberries,12/18/2020,17.875
Cranberries,12/18/2020,38.25
Raspberries,12/18/2020,30.5
Raspberries,12/18/2020,24
Strawberries,12/18/2020,16.75
Strawberries,12/18/2020,15.5
Strawberries,12/18/2020,30.75
Strawberries,12/18/2020,19.5
Blackberries,12/17/2020,17.625
Blackberries,12/17/2020,16.625
Blueberries,12/17/2020,19.75
Blueberries,12/17/2020,32
Blueberries,12/17/2020,17.875
Cranberries,12/17/2020,38.25
Raspberries,12/17/2020,30.5
Raspberries,12/17/2020,24
Strawberries,12/17/2020,30.75
Strawberries,12/17/2020,16.75
Strawberries,12/17/2020,19.5
Strawberries,12/17/2020,15.5
Blackberries,12/16/2020,16.625
Blackberries,12/16/2020,17.625
Blueberries,12/16/2020,32
Blueberries,12/16/2020,19.75
Blueberries,12/16/2020,17.875
Cranberries,12/16/2020,38.25
Raspberries,12/16/2020,30.5
Raspberries,12/16/2020,24
Strawberries,12/16/2020,16.75
Strawberries,12/16/2020,31.25
Strawberries,12/16/2020,23.75
Strawberries,12/16/2020,15.5
Strawberries,12/16/2020,15.75
Blackberries,12/15/2020,17.625
Blackberries,12/15/2020,16.625
Blueberries,12/15/2020,19.75
Blueberries,12/15/2020,32
Blueberries,12/15/2020,17.875
Raspberries,12/15/2020,30.5
Raspberries,12/15/2020,24
Strawberries,12/15/2020,15.5
Strawberries,12/15/2020,23.75
Strawberries,12/15/2020,31.5
Strawberries,12/15/2020,15.75
Strawberries,12/15/2020,16.75
Cranberries,12/15/2020,38.25
Blackberries,12/14/2020,16.625
Blueberries,12/14/2020,31
Blueberries,12/14/2020,19.75
Blueberries,12/14/2020,17.875
Blueberries,12/14/2020,17.875
Raspberries,12/14/2020,29.5
Raspberries,12/14/2020,24
Strawberries,12/14/2020,15.75
Strawberries,12/14/2020,31.5
Strawberries,12/14/2020,17
Strawberries,12/14/2020,15.5
Strawberries,12/14/2020,25.375
Cranberries,12/14/2020,38.25
Blackberries,12/11/2020,16.625
Blueberries,12/11/2020,19.75
Blueberries,12/11/2020,31
Blueberries,12/11/2020,17.875
Raspberries,12/11/2020,29.5
Raspberries,12/11/2020,27.5
Strawberries,12/11/2020,28.75
Strawberries,12/11/2020,19
Strawberries,12/11/2020,15.75
Strawberries,12/11/2020,25.375
Strawberries,12/11/2020,31.5
Cranberries,12/11/2020,38.25
Blackberries,12/10/2020,16.625
Blueberries,12/10/2020,31
Blueberries,12/10/2020,28.5
Blueberries,12/10/2020,17.875
Raspberries,12/10/2020,27.5
Raspberries,12/10/2020,29.5
Strawberries,12/10/2020,31.5
Strawberries,12/10/2020,19
Strawberries,12/10/2020,25.375
Strawberries,12/10/2020,15.75
Strawberries,12/10/2020,28.75
Cranberries,12/10/2020,38.25
Blackberries,12/09/2020,16.625
Blueberries,12/09/2020,31
Blueberries,12/09/2020,28.5
Blueberries,12/09/2020,17.875
Raspberries,12/09/2020,29.5
Raspberries,12/09/2020,27.5
Strawberries,12/09/2020,19
Strawberries,12/09/2020,25.375
Strawberries,12/09/2020,15.75
Strawberries,12/09/2020,29
Strawberries,12/09/2020,31.5
Cranberries,12/09/2020,38.25
Blackberries,12/08/2020,16.625
Blueberries,12/08/2020,31
Blueberries,12/08/2020,28.5
Blueberries,12/08/2020,17.875
Raspberries,12/08/2020,29.5
Raspberries,12/08/2020,27.5
Strawberries,12/08/2020,15.75
Strawberries,12/08/2020,29
Strawberries,12/08/2020,31.5
Strawberries,12/08/2020,18
Strawberries,12/08/2020,31.25
Cranberries,12/08/2020,38.25
Blackberries,12/07/2020,16.625
Blueberries,12/07/2020,28.5
Blueberries,12/07/2020,31
Blueberries,12/07/2020,17.875
Raspberries,12/07/2020,27.5
Raspberries,12/07/2020,29.5
Strawberries,12/07/2020,31.5
Strawberries,12/07/2020,18
Strawberries,12/07/2020,29
Strawberries,12/07/2020,31.25
Strawberries,12/07/2020,15.75
Cranberries,12/07/2020,38.25
Blackberries,12/04/2020,28
Blackberries,12/04/2020,21.625
Blueberries,12/04/2020,31
Blueberries,12/04/2020,28.5
Blueberries,12/04/2020,17.875
Cranberries,12/04/2020,38.25
Raspberries,12/04/2020,29.5
Raspberries,12/04/2020,27.5
Strawberries,12/04/2020,10.25
Strawberries,12/04/2020,15.75
Strawberries,12/04/2020,34.5
Strawberries,12/04/2020,30
Strawberries,12/04/2020,18
Strawberries,12/04/2020,30.25
Blackberries,12/03/2020,28
Blackberries,12/03/2020,21.625
Blueberries,12/03/2020,31
Blueberries,12/03/2020,28.5
Blueberries,12/03/2020,17.875
Cranberries,12/03/2020,38.25
Raspberries,12/03/2020,27.5
Raspberries,12/03/2020,29.5
Strawberries,12/03/2020,30.25
Strawberries,12/03/2020,16.5
Strawberries,12/03/2020,18
Strawberries,12/03/2020,10.25
Strawberries,12/03/2020,34.5
Strawberries,12/03/2020,30
Blackberries,12/02/2020,21.625
Blackberries,12/02/2020,28
Blueberries,12/02/2020,28.5
Blueberries,12/02/2020,31
Blueberries,12/02/2020,17.875
Raspberries,12/02/2020,29.5
Raspberries,12/02/2020,28
Strawberries,12/02/2020,30.25
Strawberries,12/02/2020,34.5
Strawberries,12/02/2020,30
Strawberries,12/02/2020,10.25
Strawberries,12/02/2020,18
Cranberries,12/02/2020,38.25
Blackberries,12/01/2020,28
Blackberries,12/01/2020,21.625
Blueberries,12/01/2020,28.5
Blueberries,12/01/2020,31
Blueberries,12/01/2020,17.875
Cranberries,12/01/2020,19
Raspberries,12/01/2020,29.5
Raspberries,12/01/2020,28
Strawberries,12/01/2020,10.25
Strawberries,12/01/2020,30.25
Strawberries,12/01/2020,18
Strawberries,12/01/2020,30
Strawberries,12/01/2020,34.5
Cranberries,12/01/2020,38.25
Blackberries,11/30/2020,21.625
Blackberries,11/30/2020,27.125
Blueberries,11/30/2020,29
Blueberries,11/30/2020,33
Blueberries,11/30/2020,17.875
Cranberries,11/30/2020,38.25
Cranberries,11/30/2020,19
Raspberries,11/30/2020,28
Raspberries,11/30/2020,29.5
Strawberries,11/30/2020,30.25
Strawberries,11/30/2020,11.75
Strawberries,11/30/2020,34.375
Strawberries,11/30/2020,20
Strawberries,11/30/2020,30
Blackberries,11/27/2020,27.125
Blackberries,11/27/2020,22.25
Blueberries,11/27/2020,33
Blueberries,11/27/2020,29
Blueberries,11/27/2020,17.875
Cranberries,11/27/2020,19
Cranberries,11/27/2020,38.25
Raspberries,11/27/2020,28
Raspberries,11/27/2020,29.5
Strawberries,11/27/2020,21
Strawberries,11/27/2020,35
Strawberries,11/27/2020,20
Strawberries,11/27/2020,11.75
Strawberries,11/27/2020,19
Strawberries,11/27/2020,30
Blackberries,11/25/2020,22.25
Blackberries,11/25/2020,27.125
Blueberries,11/25/2020,33
Blueberries,11/25/2020,29
Blueberries,11/25/2020,17.875
Cranberries,11/25/2020,38.25
Cranberries,11/25/2020,19
Raspberries,11/25/2020,29.5
Raspberries,11/25/2020,28
Strawberries,11/25/2020,21
Strawberries,11/25/2020,35
Strawberries,11/25/2020,20
Strawberries,11/25/2020,30
Strawberries,11/25/2020,19
Strawberries,11/25/2020,11.75
Blackberries,11/24/2020,27.125
Blackberries,11/24/2020,22.25
Blueberries,11/24/2020,33
Blueberries,11/24/2020,29
Blueberries,11/24/2020,17.875
Cranberries,11/24/2020,38.25
Cranberries,11/24/2020,19
Raspberries,11/24/2020,29.5
Raspberries,11/24/2020,28
Strawberries,11/24/2020,21
Strawberries,11/24/2020,26.5
Strawberries,11/24/2020,35
Strawberries,11/24/2020,21
Strawberries,11/24/2020,11.75
Strawberries,11/24/2020,30
Blackberries,11/23/2020,27.125
Blackberries,11/23/2020,22.25
Blueberries,11/23/2020,29
Blueberries,11/23/2020,38.5
Blueberries,11/23/2020,17.875
Cranberries,11/23/2020,38.25
Raspberries,11/23/2020,29
Raspberries,11/23/2020,43
Strawberries,11/23/2020,26.5
Strawberries,11/23/2020,21
Strawberries,11/23/2020,30
Strawberries,11/23/2020,11.75
Strawberries,11/23/2020,21
Strawberries,11/23/2020,35
Blackberries,11/20/2020,22.125
Blackberries,11/20/2020,27.125
Blueberries,11/20/2020,29
Blueberries,11/20/2020,38.5
Blueberries,11/20/2020,17.875
Cranberries,11/20/2020,38.25
Raspberries,11/20/2020,43
Raspberries,11/20/2020,29
Strawberries,11/20/2020,21
Strawberries,11/20/2020,26.5
Strawberries,11/20/2020,11.75
Strawberries,11/20/2020,35
Strawberries,11/20/2020,21
Strawberries,11/20/2020,30
Blackberries,11/19/2020,27.125
Blackberries,11/19/2020,22.125
Blueberries,11/19/2020,38.5
Blueberries,11/19/2020,29
Blueberries,11/19/2020,17.875
Cranberries,11/19/2020,38.25
Raspberries,11/19/2020,29
Strawberries,11/19/2020,26.5
Strawberries,11/19/2020,11
Strawberries,11/19/2020,11.75
Strawberries,11/19/2020,35
Strawberries,11/19/2020,30
Strawberries,11/19/2020,21
Blackberries,11/18/2020,27.125
Blackberries,11/18/2020,22.125
Blueberries,11/18/2020,38.5
Blueberries,11/18/2020,29
Blueberries,11/18/2020,17.875
Cranberries,11/18/2020,38.25
Raspberries,11/18/2020,29
Strawberries,11/18/2020,26.5
Strawberries,11/18/2020,11
Strawberries,11/18/2020,30
Strawberries,11/18/2020,35
Strawberries,11/18/2020,11.75
Strawberries,11/18/2020,21
Blackberries,11/17/2020,22.125
Blackberries,11/17/2020,27.125
Blueberries,11/17/2020,38.5
Blueberries,11/17/2020,29
Blueberries,11/17/2020,17.875
Cranberries,11/17/2020,38.25
Raspberries,11/17/2020,29
Strawberries,11/17/2020,26.5
Strawberries,11/17/2020,21
Strawberries,11/17/2020,12.5
Strawberries,11/17/2020,21
Strawberries,11/17/2020,29
Strawberries,11/17/2020,35
Blackberries,11/16/2020,27.125
Blackberries,11/16/2020,18
Blueberries,11/16/2020,31
Blueberries,11/16/2020,38.5
Blueberries,11/16/2020,18.5
Blueberries,11/16/2020,27
Cranberries,11/16/2020,38.25
Raspberries,11/16/2020,31
Raspberries,11/16/2020,27
Strawberries,11/16/2020,31
Strawberries,11/16/2020,19
Strawberries,11/16/2020,10.5
Strawberries,11/16/2020,34.75
Strawberries,11/16/2020,25.875
Strawberries,11/16/2020,18.5
Blackberries,11/13/2020,27.125
Blackberries,11/13/2020,18
Blueberries,11/13/2020,38.5
Blueberries,11/13/2020,31
Blueberries,11/13/2020,27
Blueberries,11/13/2020,18.5
Cranberries,11/13/2020,38.25
Raspberries,11/13/2020,27
Raspberries,11/13/2020,31
Strawberries,11/13/2020,31
Strawberries,11/13/2020,19
Strawberries,11/13/2020,10.5
Strawberries,11/13/2020,34.75
Strawberries,11/13/2020,18.5
Strawberries,11/13/2020,25.875
Blackberries,11/12/2020,27.125
Blackberries,11/12/2020,18
Blueberries,11/12/2020,31
Blueberries,11/12/2020,38.5
Blueberries,11/12/2020,27
Blueberries,11/12/2020,18.5
Cranberries,11/12/2020,38.25
Raspberries,11/12/2020,27
Raspberries,11/12/2020,31
Strawberries,11/12/2020,31
Strawberries,11/12/2020,19
Strawberries,11/12/2020,34.75
Strawberries,11/12/2020,18.5
Strawberries,11/12/2020,25.875
Blackberries,11/10/2020,27.125
Blackberries,11/10/2020,18.5
Blueberries,11/10/2020,31
Blueberries,11/10/2020,38.5
Blueberries,11/10/2020,27
Blueberries,11/10/2020,21
Cranberries,11/10/2020,38.25
Raspberries,11/10/2020,31
Raspberries,11/10/2020,27
Strawberries,11/10/2020,26.5
Strawberries,11/10/2020,10.5
Strawberries,11/10/2020,19
Strawberries,11/10/2020,18.5
Strawberries,11/10/2020,36
Strawberries,11/10/2020,10.5
Strawberries,11/10/2020,25.875
Blackberries,11/09/2020,27.125
Blackberries,11/09/2020,18.5
Blueberries,11/09/2020,31
Blueberries,11/09/2020,38.5
Blueberries,11/09/2020,21
Blueberries,11/09/2020,27
Cranberries,11/09/2020,38.25
Raspberries,11/09/2020,27
Raspberries,11/09/2020,31
Strawberries,11/09/2020,10.5
Strawberries,11/09/2020,19
Strawberries,11/09/2020,26.5
Strawberries,11/09/2020,18.5
Strawberries,11/09/2020,36
Strawberries,11/09/2020,10.5
Strawberries,11/09/2020,25.875
Blackberries,11/06/2020,18.5
Blackberries,11/06/2020,27.125
Blueberries,11/06/2020,31
Blueberries,11/06/2020,38.5
Blueberries,11/06/2020,27
Blueberries,11/06/2020,24
Cranberries,11/06/2020,38.25
Raspberries,11/06/2020,30.25
Raspberries,11/06/2020,27
Strawberries,11/06/2020,10.5
Strawberries,11/06/2020,19
Strawberries,11/06/2020,12.5
Strawberries,11/06/2020,36
Strawberries,11/06/2020,25.875
Strawberries,11/06/2020,18.5
Blackberries,11/05/2020,27.125
Blackberries,11/05/2020,18.5
Blueberries,11/05/2020,38.5
Blueberries,11/05/2020,31
Blueberries,11/05/2020,27
Blueberries,11/05/2020,24
Cranberries,11/05/2020,38.25
Raspberries,11/05/2020,27
Raspberries,11/05/2020,30.25
Strawberries,11/05/2020,10.5
Strawberries,11/05/2020,19
Strawberries,11/05/2020,12.5
Strawberries,11/05/2020,18.5
Strawberries,11/05/2020,25.875
Strawberries,11/05/2020,36
Blackberries,11/04/2020,27.125
Blackberries,11/04/2020,18.5
Blueberries,11/04/2020,38.5
Blueberries,11/04/2020,35
Blueberries,11/04/2020,24
Cranberries,11/04/2020,38.25
Raspberries,11/04/2020,30.25
Raspberries,11/04/2020,27
Strawberries,11/04/2020,10.5
Strawberries,11/04/2020,19
Strawberries,11/04/2020,18.5
Strawberries,11/04/2020,25.875
Strawberries,11/04/2020,12.5
Strawberries,11/04/2020,32
Blackberries,11/03/2020,18.75
Blackberries,11/03/2020,27.125
Blueberries,11/03/2020,38.5
Blueberries,11/03/2020,35
Blueberries,11/03/2020,24
Cranberries,11/03/2020,38.25
Raspberries,11/03/2020,27
Raspberries,11/03/2020,30.25
Strawberries,11/03/2020,10.5
Strawberries,11/03/2020,19
Strawberries,11/03/2020,12.5
Strawberries,11/03/2020,25.875
Strawberries,11/03/2020,8
Strawberries,11/03/2020,18
Strawberries,11/03/2020,30.75
Blackberries,11/02/2020,20
Blackberries,11/02/2020,30
Blackberries,11/02/2020,17.25
Blueberries,11/02/2020,37.25
Blueberries,11/02/2020,40.875
Blueberries,11/02/2020,33.25
Blueberries,11/02/2020,25.75
Blueberries,11/02/2020,31
Cranberries,11/02/2020,38.25
Raspberries,11/02/2020,33
Raspberries,11/02/2020,27
Raspberries,11/02/2020,29.5
Strawberries,11/02/2020,15.5
Strawberries,11/02/2020,25.75
Strawberries,11/02/2020,19
Strawberries,11/02/2020,33.75
Blackberries,10/30/2020,30
Blackberries,10/30/2020,16
Blackberries,10/30/2020,20
Blueberries,10/30/2020,40.875
Blueberries,10/30/2020,37.25
Blueberries,10/30/2020,33.25
Blueberries,10/30/2020,26.5
Blueberries,10/30/2020,31
Cranberries,10/30/2020,38.25
Raspberries,10/30/2020,29.5
Raspberries,10/30/2020,33
Strawberries,10/30/2020,25.75
Strawberries,10/30/2020,33.875
Strawberries,10/30/2020,19
Strawberries,10/30/2020,15.5
Blackberries,10/29/2020,16
Blackberries,10/29/2020,30
Blackberries,10/29/2020,20
Blueberries,10/29/2020,37.375
Blueberries,10/29/2020,40.875
Blueberries,10/29/2020,33.25
Blueberries,10/29/2020,31
Blueberries,10/29/2020,26.5
Raspberries,10/29/2020,33
Raspberries,10/29/2020,29.5
Strawberries,10/29/2020,15.5
Strawberries,10/29/2020,33.875
Strawberries,10/29/2020,19
Strawberries,10/29/2020,25.75
Cranberries,10/29/2020,38.25
Blackberries,10/28/2020,30
Blackberries,10/28/2020,16
Blackberries,10/28/2020,20
Blueberries,10/28/2020,40.875
Blueberries,10/28/2020,33.25
Blueberries,10/28/2020,37.375
Blueberries,10/28/2020,31
Blueberries,10/28/2020,26.5
Raspberries,10/28/2020,29.5
Raspberries,10/28/2020,33
Strawberries,10/28/2020,25.75
Strawberries,10/28/2020,15.5
Strawberries,10/28/2020,19
Strawberries,10/28/2020,33.875
Cranberries,10/28/2020,38.25
Blackberries,10/27/2020,30
Blackberries,10/27/2020,16
Blackberries,10/27/2020,24.5
Blueberries,10/27/2020,37.375
Blueberries,10/27/2020,41.375
Blueberries,10/27/2020,33.25
Cranberries,10/27/2020,38.25
Raspberries,10/27/2020,36
Raspberries,10/27/2020,30
Strawberries,10/27/2020,31.75
Strawberries,10/27/2020,19
Strawberries,10/27/2020,14.5
Strawberries,10/27/2020,26
Blackberries,10/26/2020,24.5
Blackberries,10/26/2020,16
Blackberries,10/26/2020,30
Blueberries,10/26/2020,37.375
Blueberries,10/26/2020,47
Blueberries,10/26/2020,33.25
Raspberries,10/26/2020,30
Raspberries,10/26/2020,36
Strawberries,10/26/2020,26
Strawberries,10/26/2020,40
Strawberries,10/26/2020,16.75
Blackberries,10/23/2020,30
Blackberries,10/23/2020,16
Blackberries,10/23/2020,24.5
Blueberries,10/23/2020,37.375
Blueberries,10/23/2020,47
Blueberries,10/23/2020,33.25
Raspberries,10/23/2020,30
Raspberries,10/23/2020,36
Strawberries,10/23/2020,8
Strawberries,10/23/2020,16.75
Strawberries,10/23/2020,26
Strawberries,10/23/2020,40
Blackberries,10/22/2020,30
Blackberries,10/22/2020,24.5
Blackberries,10/22/2020,16
Blueberries,10/22/2020,47
Blueberries,10/22/2020,33.25
Blueberries,10/22/2020,37.375
Raspberries,10/22/2020,30
Raspberries,10/22/2020,36
Strawberries,10/22/2020,8
Strawberries,10/22/2020,40
Strawberries,10/22/2020,16.75
Strawberries,10/22/2020,26
Blackberries,10/21/2020,16.5
Blackberries,10/21/2020,24.5
Blackberries,10/21/2020,17.75
Blackberries,10/21/2020,30
Blueberries,10/21/2020,47
Blueberries,10/21/2020,37.375
Blueberries,10/21/2020,32.5
Raspberries,10/21/2020,30
Raspberries,10/21/2020,36
Strawberries,10/21/2020,40
Strawberries,10/21/2020,26
Strawberries,10/21/2020,17.75
Strawberries,10/21/2020,8
Blackberries,10/20/2020,30
Blackberries,10/20/2020,16.5
Blackberries,10/20/2020,24.5
Blackberries,10/20/2020,17.75
Blueberries,10/20/2020,47
Blueberries,10/20/2020,37.375
Blueberries,10/20/2020,32.5
Raspberries,10/20/2020,36
Raspberries,10/20/2020,30
Strawberries,10/20/2020,7.5
Strawberries,10/20/2020,17.75
Strawberries,10/20/2020,40
Strawberries,10/20/2020,26
Blackberries,10/19/2020,24.5
Blackberries,10/19/2020,17.75
Blackberries,10/19/2020,28
Blackberries,10/19/2020,16.5
Blueberries,10/19/2020,32.5
Blueberries,10/19/2020,47
Blueberries,10/19/2020,39.125
Raspberries,10/19/2020,15
Raspberries,10/19/2020,35
Raspberries,10/19/2020,30.5
Raspberries,10/19/2020,17
Strawberries,10/19/2020,40
Strawberries,10/19/2020,32.875
Strawberries,10/19/2020,17.5
Blackberries,10/16/2020,17.75
Blackberries,10/16/2020,16.5
Blackberries,10/16/2020,28
Blackberries,10/16/2020,24.5
Blackberries,10/16/2020,10.75
Blueberries,10/16/2020,39.25
Blueberries,10/16/2020,42
Blueberries,10/16/2020,32.5
Raspberries,10/16/2020,35
Raspberries,10/16/2020,30.5
Raspberries,10/16/2020,15
Raspberries,10/16/2020,17
Strawberries,10/16/2020,32.875
Strawberries,10/16/2020,17.5
Strawberries,10/16/2020,40
Blackberries,10/15/2020,24.5
Blackberries,10/15/2020,17.75
Blackberries,10/15/2020,28
Blackberries,10/15/2020,10.75
Blackberries,10/15/2020,16.5
Blueberries,10/15/2020,32.5
Blueberries,10/15/2020,42
Blueberries,10/15/2020,39.25
Blueberries,10/15/2020,35.75
Raspberries,10/15/2020,35
Raspberries,10/15/2020,15
Raspberries,10/15/2020,17
Raspberries,10/15/2020,30.5
Strawberries,10/15/2020,40
Strawberries,10/15/2020,32.875
Strawberries,10/15/2020,17.5
Blackberries,10/14/2020,16.5
Blackberries,10/14/2020,28
Blackberries,10/14/2020,24.5
Blackberries,10/14/2020,10.75
Blackberries,10/14/2020,17.75
Blueberries,10/14/2020,32.5
Blueberries,10/14/2020,39.25
Blueberries,10/14/2020,42
Blueberries,10/14/2020,35.75
Raspberries,10/14/2020,15
Raspberries,10/14/2020,35
Raspberries,10/14/2020,17
Raspberries,10/14/2020,30.5
Strawberries,10/14/2020,18.5
Strawberries,10/14/2020,40
Strawberries,10/14/2020,32.875
Blackberries,10/13/2020,10.75
Blackberries,10/13/2020,16.5
Blackberries,10/13/2020,24.5
Blackberries,10/13/2020,28
Blackberries,10/13/2020,17.75
Blueberries,10/13/2020,40.125
Blueberries,10/13/2020,43
Blueberries,10/13/2020,32.5
Blueberries,10/13/2020,35.75
Raspberries,10/13/2020,30.5
Raspberries,10/13/2020,17
Raspberries,10/13/2020,35
Strawberries,10/13/2020,40
Strawberries,10/13/2020,18.5
Strawberries,10/13/2020,32.875
Blackberries,10/09/2020,24.5
Blackberries,10/09/2020,15.625
Blackberries,10/09/2020,30
Blackberries,10/09/2020,10.75
Blackberries,10/09/2020,18
Blueberries,10/09/2020,32.5
Blueberries,10/09/2020,34
Blueberries,10/09/2020,39.25
Blueberries,10/09/2020,43
Blueberries,10/09/2020,35
Raspberries,10/09/2020,35
Raspberries,10/09/2020,30.5
Raspberries,10/09/2020,9.5
Strawberries,10/09/2020,23.25
Strawberries,10/09/2020,18.5
Strawberries,10/09/2020,34
Strawberries,10/09/2020,40
Blackberries,10/08/2020,30
Blackberries,10/08/2020,24.5
Blackberries,10/08/2020,15.625
Blackberries,10/08/2020,18
Blueberries,10/08/2020,34
Blueberries,10/08/2020,39.25
Blueberries,10/08/2020,43
Blueberries,10/08/2020,32.5
Blueberries,10/08/2020,35
Raspberries,10/08/2020,9.5
Raspberries,10/08/2020,35
Raspberries,10/08/2020,30.5
Strawberries,10/08/2020,23.25
Strawberries,10/08/2020,34
Strawberries,10/08/2020,18.5
Strawberries,10/08/2020,40
Blackberries,10/07/2020,24.5
Blackberries,10/07/2020,15.625
Blackberries,10/07/2020,30
Blackberries,10/07/2020,18
Blueberries,10/07/2020,32.5
Blueberries,10/07/2020,34
Blueberries,10/07/2020,39.25
Blueberries,10/07/2020,35
Raspberries,10/07/2020,35
Raspberries,10/07/2020,8
Raspberries,10/07/2020,30.5
Strawberries,10/07/2020,40
Strawberries,10/07/2020,23.25
Strawberries,10/07/2020,34
Blackberries,10/06/2020,15.625
Blackberries,10/06/2020,24.5
Blackberries,10/06/2020,18
Blackberries,10/06/2020,30
Blueberries,10/06/2020,39.25
Blueberries,10/06/2020,42.25
Blueberries,10/06/2020,35
Raspberries,10/06/2020,30.5
Raspberries,10/06/2020,37
Strawberries,10/06/2020,34
Strawberries,10/06/2020,23.25
Strawberries,10/06/2020,40
Blackberries,10/05/2020,24.5
Blackberries,10/05/2020,30
Blackberries,10/05/2020,15.625
Blackberries,10/05/2020,17.5
Blueberries,10/05/2020,42.25
Blueberries,10/05/2020,39.25
Blueberries,10/05/2020,35
Raspberries,10/05/2020,37
Raspberries,10/05/2020,30
Strawberries,10/05/2020,34
Strawberries,10/05/2020,40.375
Strawberries,10/05/2020,20.25
Blackberries,10/02/2020,30
Blackberries,10/02/2020,15.625
Blackberries,10/02/2020,24.5
Blackberries,10/02/2020,17.5
Blueberries,10/02/2020,42.25
Blueberries,10/02/2020,17.75
Blueberries,10/02/2020,35
Raspberries,10/02/2020,30
Raspberries,10/02/2020,37
Strawberries,10/02/2020,18
Strawberries,10/02/2020,40.375
Strawberries,10/02/2020,34
Blackberries,10/01/2020,15.625
Blackberries,10/01/2020,17.5
Blackberries,10/01/2020,24.5
Blackberries,10/01/2020,30
Blueberries,10/01/2020,42.25
Blueberries,10/01/2020,17.75
Blueberries,10/01/2020,35
Raspberries,10/01/2020,30
Raspberries,10/01/2020,37
Strawberries,10/01/2020,40.375
Strawberries,10/01/2020,34
Strawberries,10/01/2020,18
Blackberries,09/30/2020,24.5
Blackberries,09/30/2020,15.625
Blackberries,09/30/2020,17.5
Blackberries,09/30/2020,30
Blueberries,09/30/2020,17.75
Blueberries,09/30/2020,42.25
Blueberries,09/30/2020,35
Raspberries,09/30/2020,37
Raspberries,09/30/2020,30
Strawberries,09/30/2020,34
Strawberries,09/30/2020,40.375
Strawberries,09/30/2020,18
